Order_ID,Order_Date,Customer_Location,Customer_ID,Age,Occupation,Gender,Category_Name,Category_ID,Product_ID,Product_Name,Quantity_Sold,Material,Unit_Price ($),Total_Revenue ($),Eco_Certification,Manufacturing_Emission (kg CO2),Water_Usage (liters),Percentage_Recycled_Material (%),Carbon_Offset_Investment ($),Return_Status,Return_Reason,Customer_Feedback
ORD-000016,2024-08-20,"Netherlands, Amsterdam",CUST-00016,37,"Librarian, academic",Female,Dress,CAT-03,DR-8227,Dress Style,2,Bamboo,120,240,Fair Trade,12.67,1815,22,0.63,Returned,Not as Expected,Excellent
ORD-000017,2024-03-23,"Canada, Victoria",CUST-00017,44,Armed forces operational officer,Female,Jacket,CAT-04,JA-7409,Jacket Style,3,Linen,210,630,OEKO-TEX,6.16,2645,41,0.31,Not Returned,,Excellent
ORD-000018,2024-05-01,"USA, Seattle",CUST-00018,39,Diagnostic radiographer,Female,Pants,CAT-02,PA-9503,Pants Eco,3,Recycled Polyester,70,210,Fair Trade,4.71,2551,55,0.24,Not Returned,,Excellent
ORD-000019,2024-06-02,"Norway, Bergen",CUST-00019,21,Careers information officer,Female,Shirt,CAT-01,SHI-1551,Shirt Style,5,Hemp,60,300,GOTS,7.12,555,58,0.36,Not Returned,,Average
ORD-000020,2024-01-13,"USA, San Francisco",CUST-00020,53,Air cabin crew,Female,Pants,CAT-02,PA-4119,Pants Style,2,Linen,90,180,GOTS,4.0,2503,66,0.2,Not Returned,,Good
ORD-000021,2024-05-05,"Sweden, Stockholm",CUST-00021,30,Manufacturing engineer,Female,Dress,CAT-03,DR-9152,Dress Style,4,Recycled Polyester,100,400,B Corp,7.26,1727,56,0.36,Not Returned,,Excellent
ORD-000022,2024-10-03,"USA, Berkeley",CUST-00022,20,Barista,Female,Bag,CAT-06,BA-2386,Bag Classic,5,Bamboo,110,550,Fair Trade,12.54,2729,45,0.63,Not Returned,,Average
ORD-000023,2025-01-10,"USA, Seattle",CUST-00023,39,Sub,Male,Shirt,CAT-01,SHI-4079,Shirt Green,2,Linen,60,120,Fair Trade,11.0,792,11,0.55,Not Returned,,Excellent
ORD-000024,2023-10-10,"Canada, Victoria",CUST-00024,23,"Engineer, electrical",Male,Pants,CAT-02,PA-5983,Pants Style,1,Hemp,95,95,OEKO-TEX,2.68,2247,28,0.13,Not Returned,,Excellent
ORD-000025,2023-12-06,"New Zealand, Wellington",CUST-00025,54,Trading standards officer,Male,Shirt,CAT-01,SHI-1969,Shirt Eco,2,Bamboo,55,110,B Corp,4.91,1515,15,0.25,Not Returned,,Good
ORD-000026,2024-06-12,"USA, Portland",CUST-00026,36,Chartered management accountant,Female,Jacket,CAT-04,JA-2627,Jacket Classic,3,Hemp,230,690,GOTS,8.53,2695,22,0.43,Not Returned,,Good
ORD-000027,2024-03-07,"USA, Portland",CUST-00027,55,Higher education careers adviser,Female,Jacket,CAT-04,JA-8463,Jacket Eco,1,Linen,215,215,OEKO-TEX,12.52,2651,30,0.63,Not Returned,,Excellent
ORD-000028,2023-07-03,"USA, Portland",CUST-00028,55,Scientific laboratory technician,Female,Bag,CAT-06,BA-9229,Bag Eco,4,Linen,115,460,Fair Trade,3.11,2635,27,0.16,Not Returned,,Excellent
ORD-000029,2023-06-22,"New Zealand, Wellington",CUST-00029,53,"Psychotherapist, child",Male,Jacket,CAT-04,JA-3216,Jacket Eco,2,Hemp,225,450,GOTS,10.02,1599,10,0.5,Not Returned,,Excellent
ORD-000030,2023-08-07,"Canada, Vancouver",CUST-00030,42,"Conservation officer, historic buildings",Male,Pants,CAT-02,PA-3917,Pants Eco,5,Bamboo,90,450,GOTS,13.14,1797,57,0.66,Not Returned,,Excellent
ORD-000031,2024-08-28,"New Zealand, Wellington",CUST-00031,32,Animal nutritionist,Female,Bag,CAT-06,BA-9006,Bag Eco,1,Bamboo,105,105,OEKO-TEX,9.18,2097,99,0.46,Returned,Wrong Size,Excellent
ORD-000032,2024-06-01,"USA, Burlington",CUST-00032,40,"Designer, blown glass/stained glass",Female,Pants,CAT-02,PA-2267,Pants Style,1,Linen,85,85,Fair Trade,6.04,987,54,0.3,Not Returned,,Good
ORD-000033,2024-06-21,"Canada, Vancouver",CUST-00033,29,Plant breeder/geneticist,Female,Shirt,CAT-01,SHI-8051,Shirt Style,5,Recycled Polyester,50,250,None,2.2,2259,85,0.11,Not Returned,,Excellent
ORD-000034,2024-06-02,"Germany, Freiburg",CUST-00034,46,Computer games developer,Male,Jacket,CAT-04,JA-5224,Jacket Classic,3,Organic Cotton,210,630,Fair Trade,5.68,716,45,0.28,Not Returned,,Average
ORD-000035,2023-11-13,"USA, Boulder",CUST-00035,38,Office manager,Other,Shirt,CAT-01,SHI-9748,Shirt Eco,1,Organic Cotton,50,50,Fair Trade,11.95,2224,69,0.6,Not Returned,,Poor
ORD-000036,2023-05-17,"Netherlands, Amsterdam",CUST-00036,25,Aid worker,Female,Bag,CAT-06,BA-6022,Bag Eco,3,Organic Cotton,110,330,GOTS,13.29,2194,57,0.66,Not Returned,,Poor
ORD-000037,2023-06-06,"Germany, Freiburg",CUST-00037,48,Barista,Male,Jacket,CAT-04,JA-2413,Jacket Eco,3,Hemp,245,735,OEKO-TEX,6.97,2728,26,0.35,Not Returned,,Good
ORD-000038,2023-10-20,"Germany, Berlin",CUST-00038,40,"Clinical scientist, histocompatibility and immunogenetics",Male,Shoes,CAT-05,SHO-8097,Shoes Classic,1,Hemp,175,175,GOTS,12.17,1129,14,0.61,Not Returned,,Average
ORD-000039,2023-08-10,"Netherlands, Amsterdam",CUST-00039,55,"Buyer, retail",Other,Bag,CAT-06,BA-2309,Bag Green,5,Recycled Polyester,90,450,None,12.0,2560,52,0.6,Returned,Wrong Size,Poor
ORD-000040,2024-06-02,"Australia, Melbourne",CUST-00040,20,Adult nurse,Male,Jacket,CAT-04,JA-8637,Jacket Classic,4,Organic Cotton,230,920,Fair Trade,13.43,2091,68,0.67,Not Returned,,Average
ORD-000041,2023-07-14,"USA, Burlington",CUST-00041,49,Commercial art gallery manager,Female,Jacket,CAT-04,JA-6696,Jacket Green,3,Linen,210,630,B Corp,4.27,1484,74,0.21,Returned,Wrong Size,Excellent
ORD-000042,2025-04-01,"Canada, Vancouver",CUST-00042,40,Make,Female,Jacket,CAT-04,JA-4027,Jacket Eco,2,Recycled Polyester,185,370,Fair Trade,12.19,2068,42,0.61,Not Returned,,Good
ORD-000043,2023-08-13,"USA, Boulder",CUST-00043,32,"Nurse, mental health",Female,Shirt,CAT-01,SHI-6764,Shirt Eco,4,Organic Cotton,50,200,Fair Trade,13.89,2024,100,0.69,Not Returned,,Excellent
ORD-000044,2024-11-12,"Canada, Victoria",CUST-00044,37,Illustrator,Female,Jacket,CAT-04,JA-2083,Jacket Classic,3,Hemp,235,705,OEKO-TEX,6.27,2080,11,0.31,Not Returned,,Excellent
ORD-000045,2024-01-26,"Germany, Berlin",CUST-00045,22,"Lecturer, higher education",Male,Shirt,CAT-01,SHI-6136,Shirt Green,1,Organic Cotton,50,50,Fair Trade,6.16,2522,27,0.31,Not Returned,,Poor
ORD-000046,2025-01-28,"Canada, Vancouver",CUST-00046,24,Chiropodist,Female,Pants,CAT-02,PA-5320,Pants Green,3,Hemp,100,300,OEKO-TEX,7.89,2648,62,0.39,Not Returned,,Excellent
ORD-000047,2025-03-09,"Germany, Freiburg",CUST-00047,29,Psychiatric nurse,Female,Jacket,CAT-04,JA-8039,Jacket Style,1,Hemp,230,230,GOTS,11.22,1746,63,0.56,Not Returned,,Excellent
ORD-000048,2024-05-01,"USA, Berkeley",CUST-00048,44,Geophysical data processor,Male,Dress,CAT-03,DR-1979,Dress Green,4,Bamboo,135,540,GOTS,6.38,2747,26,0.32,Not Returned,,Good
ORD-000049,2025-02-03,"Germany, Berlin",CUST-00049,45,"Engineer, control and instrumentation",Female,Bag,CAT-06,BA-3481,Bag Classic,5,Linen,120,600,Fair Trade,4.09,1180,17,0.2,Not Returned,,Average
ORD-000050,2023-05-15,"USA, San Francisco",CUST-00050,46,Medical technical officer,Other,Shirt,CAT-01,SHI-8969,Shirt Style,5,Organic Cotton,55,275,Fair Trade,4.4,1241,26,0.22,Not Returned,,Excellent
ORD-000051,2024-04-10,"Canada, Vancouver",CUST-00051,54,Educational psychologist,Female,Jacket,CAT-04,JA-6549,Jacket Eco,4,Organic Cotton,230,920,Fair Trade,11.63,2672,46,0.58,Not Returned,,Average
ORD-000052,2024-11-17,"New Zealand, Wellington",CUST-00052,50,"Engineer, communications",Male,Dress,CAT-03,DR-8720,Dress Classic,3,Linen,130,390,OEKO-TEX,6.67,1552,89,0.33,Not Returned,,Average
ORD-000053,2023-04-19,"Canada, Victoria",CUST-00053,43,Newspaper journalist,Male,Jacket,CAT-04,JA-9283,Jacket Eco,5,Bamboo,205,1025,None,12.73,2545,32,0.64,Not Returned,,Excellent
ORD-000054,2024-10-19,"USA, Burlington",CUST-00054,26,"Engineer, drilling",Male,Dress,CAT-03,DR-3239,Dress Classic,4,Hemp,145,580,GOTS,11.51,1991,45,0.58,Not Returned,,Excellent
ORD-000055,2024-04-05,"Norway, Bergen",CUST-00055,22,Town planner,Male,Dress,CAT-03,DR-1193,Dress Eco,2,Linen,130,260,OEKO-TEX,5.31,2806,45,0.27,Not Returned,,Average
ORD-000056,2024-06-15,"Australia, Melbourne",CUST-00056,24,Illustrator,Male,Jacket,CAT-04,JA-5481,Jacket Style,5,Linen,225,1125,GOTS,11.99,1066,86,0.6,Not Returned,,Average
ORD-000057,2024-09-27,"Germany, Freiburg",CUST-00057,41,Television/film/video producer,Female,Shirt,CAT-01,SHI-9938,Shirt Classic,3,Recycled Polyester,45,135,OEKO-TEX,12.62,1171,64,0.63,Not Returned,,Excellent
ORD-000058,2023-10-24,"New Zealand, Wellington",CUST-00058,44,Psychiatric nurse,Male,Jacket,CAT-04,JA-2813,Jacket Green,3,Organic Cotton,195,585,B Corp,5.96,1418,98,0.3,Not Returned,,Excellent
ORD-000059,2024-05-06,"Germany, Freiburg",CUST-00059,28,Mining engineer,Male,Jacket,CAT-04,JA-7933,Jacket Style,1,Linen,225,225,B Corp,5.04,2952,98,0.25,Returned,Defective,Excellent
ORD-000060,2024-07-13,"Canada, Victoria",CUST-00060,36,Chiropodist,Female,Jacket,CAT-04,JA-2188,Jacket Classic,3,Organic Cotton,210,630,GOTS,12.39,2861,64,0.62,Not Returned,,Average
ORD-000061,2025-02-07,"Norway, Oslo",CUST-00061,27,Records manager,Female,Bag,CAT-06,BA-3896,Bag Style,3,Linen,105,315,GOTS,5.63,1840,83,0.28,Not Returned,,Excellent
ORD-000062,2025-03-18,"USA, Burlington",CUST-00062,53,"Engineer, energy",Female,Pants,CAT-02,PA-5337,Pants Eco,4,Bamboo,85,340,Fair Trade,7.41,2371,24,0.37,Not Returned,,Good
ORD-000063,2023-09-20,"Norway, Bergen",CUST-00063,43,Broadcast journalist,Male,Pants,CAT-02,PA-8614,Pants Style,4,Linen,85,340,OEKO-TEX,6.03,562,39,0.3,Not Returned,,Good
ORD-000064,2025-02-22,"USA, Seattle",CUST-00064,25,"Geologist, wellsite",Male,Dress,CAT-03,DR-9629,Dress Eco,2,Linen,120,240,GOTS,7.73,2317,80,0.39,Not Returned,,Average
ORD-000065,2024-11-27,"USA, Seattle",CUST-00065,26,"Psychologist, sport and exercise",Female,Dress,CAT-03,DR-1076,Dress Eco,1,Recycled Polyester,110,110,Fair Trade,7.27,680,85,0.36,Not Returned,,Good
ORD-000066,2024-03-03,"Netherlands, Amsterdam",CUST-00066,21,Set designer,Female,Shirt,CAT-01,SHI-7292,Shirt Style,4,Bamboo,55,220,Fair Trade,12.96,956,10,0.65,Not Returned,,Good
ORD-000067,2024-12-25,"USA, Seattle",CUST-00067,24,"Conservation officer, historic buildings",Female,Bag,CAT-06,BA-3972,Bag Classic,3,Linen,120,360,Fair Trade,6.15,2257,99,0.31,Returned,Wrong Size,Average
ORD-000068,2025-01-05,"USA, San Francisco",CUST-00068,31,General practice doctor,Female,Pants,CAT-02,PA-9437,Pants Eco,2,Bamboo,80,160,OEKO-TEX,7.88,1211,25,0.39,Not Returned,,Excellent
ORD-000069,2024-06-02,"Sweden, Stockholm",CUST-00069,26,Technical brewer,Male,Dress,CAT-03,DR-3957,Dress Style,3,Bamboo,125,375,Fair Trade,14.1,2010,14,0.71,Not Returned,,Good
ORD-000070,2024-04-01,"New Zealand, Wellington",CUST-00070,21,"Accountant, chartered management",Male,Pants,CAT-02,PA-4890,Pants Style,3,Hemp,90,270,OEKO-TEX,6.17,1579,65,0.31,Not Returned,,Excellent
ORD-000071,2023-08-13,"Australia, Melbourne",CUST-00071,32,Sports coach,Female,Pants,CAT-02,PA-8423,Pants Classic,1,Bamboo,85,85,Fair Trade,8.98,1084,32,0.45,Not Returned,,Excellent
ORD-000072,2024-05-05,"Canada, Victoria",CUST-00072,52,Research scientist (physical sciences),Male,Dress,CAT-03,DR-1592,Dress Classic,5,Recycled Polyester,120,600,B Corp,8.53,1937,89,0.43,Not Returned,,Poor
ORD-000073,2024-04-09,"Canada, Victoria",CUST-00073,50,"Doctor, general practice",Male,Dress,CAT-03,DR-5826,Dress Eco,1,Linen,125,125,OEKO-TEX,2.94,2266,33,0.15,Returned,Wrong Size,Average
ORD-000074,2024-02-19,"Netherlands, Amsterdam",CUST-00074,32,Retail buyer,Female,Shoes,CAT-05,SHO-3729,Shoes Eco,4,Linen,175,700,Fair Trade,11.26,2609,89,0.56,Not Returned,,Excellent
ORD-000075,2024-01-02,"USA, Berkeley",CUST-00075,51,"Teacher, adult education",Female,Shirt,CAT-01,SHI-3682,Shirt Green,3,Bamboo,50,150,None,4.58,654,48,0.23,Not Returned,,Excellent
ORD-000076,2024-08-13,"USA, Berkeley",CUST-00076,44,Chemical engineer,Male,Shoes,CAT-05,SHO-4634,Shoes Style,1,Linen,180,180,Fair Trade,13.73,1673,21,0.69,Not Returned,,Good
ORD-000077,2025-03-13,"Norway, Bergen",CUST-00077,22,Financial adviser,Male,Jacket,CAT-04,JA-2908,Jacket Green,5,Linen,250,1250,GOTS,3.0,617,78,0.15,Not Returned,,Average
ORD-000078,2023-10-02,"USA, Santa Cruz",CUST-00078,53,"Engineer, automotive",Other,Jacket,CAT-04,JA-1856,Jacket Eco,2,Organic Cotton,190,380,GOTS,8.36,1895,55,0.42,Not Returned,,Excellent
ORD-000079,2024-02-12,"Norway, Oslo",CUST-00079,49,Air cabin crew,Other,Pants,CAT-02,PA-3324,Pants Classic,2,Recycled Polyester,70,140,OEKO-TEX,12.33,1729,81,0.62,Not Returned,,Good
ORD-000080,2024-09-04,"Germany, Berlin",CUST-00080,47,Clinical biochemist,Female,Shoes,CAT-05,SHO-3508,Shoes Green,4,Recycled Polyester,135,540,None,7.96,1771,77,0.4,Not Returned,,Good
ORD-000081,2023-11-20,"USA, Berkeley",CUST-00081,26,Rural practice surveyor,Female,Bag,CAT-06,BA-2570,Bag Classic,2,Organic Cotton,100,200,Fair Trade,14.42,916,94,0.72,Not Returned,,Excellent
ORD-000082,2025-02-17,"Germany, Freiburg",CUST-00082,22,"Psychotherapist, child",Female,Shirt,CAT-01,SHI-1646,Shirt Style,5,Linen,50,250,OEKO-TEX,6.0,975,14,0.3,Not Returned,,Good
ORD-000083,2024-01-02,"Germany, Freiburg",CUST-00083,47,English as a foreign language teacher,Male,Bag,CAT-06,BA-1909,Bag Eco,1,Recycled Polyester,95,95,Fair Trade,13.87,2149,74,0.69,Not Returned,,Good
ORD-000084,2023-12-22,"Germany, Freiburg",CUST-00084,28,Horticultural therapist,Male,Dress,CAT-03,DR-1644,Dress Green,1,Linen,135,135,OEKO-TEX,4.14,2949,84,0.21,Not Returned,,Average
ORD-000085,2023-10-16,"USA, Santa Cruz",CUST-00085,32,Make,Female,Shoes,CAT-05,SHO-9398,Shoes Style,3,Hemp,180,540,GOTS,14.98,758,29,0.75,Returned,Not as Expected,Excellent
ORD-000086,2024-04-03,"New Zealand, Wellington",CUST-00086,21,"Psychologist, clinical",Female,Shoes,CAT-05,SHO-5931,Shoes Green,4,Organic Cotton,165,660,Fair Trade,13.36,2927,22,0.67,Returned,Wrong Size,Excellent
ORD-000087,2025-02-15,"USA, Boulder",CUST-00087,25,Visual merchandiser,Male,Jacket,CAT-04,JA-2631,Jacket Style,3,Recycled Polyester,195,585,B Corp,14.04,2581,33,0.7,Not Returned,,Good
ORD-000088,2025-03-13,"Germany, Freiburg",CUST-00088,29,"Engineer, civil (consulting)",Male,Jacket,CAT-04,JA-1319,Jacket Eco,3,Linen,210,630,Fair Trade,2.47,1853,55,0.12,Returned,Not as Expected,Average
ORD-000089,2024-11-25,"Canada, Vancouver",CUST-00089,24,Media planner,Male,Bag,CAT-06,BA-1264,Bag Eco,5,Recycled Polyester,90,450,Fair Trade,8.06,1503,78,0.4,Not Returned,,Excellent
ORD-000090,2024-05-16,"Norway, Bergen",CUST-00090,44,Camera operator,Female,Shirt,CAT-01,SHI-7436,Shirt Eco,4,Bamboo,50,200,OEKO-TEX,4.39,757,74,0.22,Not Returned,,Excellent
ORD-000091,2024-04-02,"Norway, Oslo",CUST-00091,55,Air broker,Male,Shoes,CAT-05,SHO-1047,Shoes Style,4,Organic Cotton,170,680,None,5.91,540,77,0.3,Not Returned,,Excellent
ORD-000092,2024-09-16,"USA, Boulder",CUST-00092,43,Higher education lecturer,Female,Shoes,CAT-05,SHO-5512,Shoes Eco,4,Recycled Polyester,135,540,OEKO-TEX,4.53,1413,59,0.23,Not Returned,,Excellent
ORD-000093,2023-12-19,"Germany, Berlin",CUST-00093,49,Computer games developer,Male,Dress,CAT-03,DR-1428,Dress Classic,4,Hemp,155,620,B Corp,2.57,2456,47,0.13,Not Returned,,Excellent
ORD-000094,2025-03-06,"New Zealand, Wellington",CUST-00094,47,Visual merchandiser,Male,Dress,CAT-03,DR-7843,Dress Green,3,Bamboo,125,375,Fair Trade,3.73,1068,60,0.19,Not Returned,,Good
ORD-000095,2024-01-20,"Sweden, Stockholm",CUST-00095,27,Industrial/product designer,Male,Jacket,CAT-04,JA-7530,Jacket Classic,4,Hemp,265,1060,Fair Trade,5.52,685,22,0.28,Not Returned,,Good
ORD-000096,2024-10-22,"Australia, Melbourne",CUST-00096,23,Maintenance engineer,Female,Shoes,CAT-05,SHO-4826,Shoes Eco,1,Recycled Polyester,130,130,GOTS,3.63,2238,22,0.18,Not Returned,,Excellent
ORD-000097,2024-01-03,"Norway, Bergen",CUST-00097,27,Therapeutic radiographer,Female,Dress,CAT-03,DR-1139,Dress Classic,4,Hemp,145,580,OEKO-TEX,6.07,1481,62,0.3,Not Returned,,Excellent
ORD-000098,2024-07-18,"USA, Portland",CUST-00098,50,Management consultant,Female,Jacket,CAT-04,JA-7103,Jacket Style,2,Organic Cotton,205,410,Fair Trade,3.23,1390,91,0.16,Not Returned,,Excellent
ORD-000099,2025-03-14,"Netherlands, Amsterdam",CUST-00099,21,Psychiatric nurse,Male,Shirt,CAT-01,SHI-5459,Shirt Classic,1,Hemp,60,60,OEKO-TEX,7.41,831,19,0.37,Not Returned,,Good
ORD-000100,2024-08-31,"Germany, Berlin",CUST-00100,21,"Teacher, primary school",Male,Shoes,CAT-05,SHO-6057,Shoes Classic,5,Linen,160,800,Fair Trade,6.89,2314,74,0.34,Returned,Defective,Excellent
ORD-000101,2024-02-09,"Canada, Victoria",CUST-00101,29,"Therapist, sports",Female,Dress,CAT-03,DR-6218,Dress Green,5,Hemp,155,775,GOTS,10.22,2425,14,0.51,Not Returned,,Good
ORD-000102,2023-08-12,"USA, Burlington",CUST-00102,29,Tour manager,Female,Shoes,CAT-05,SHO-9741,Shoes Style,1,Bamboo,150,150,B Corp,8.22,1477,58,0.41,Not Returned,,Excellent
ORD-000103,2024-04-30,"USA, Seattle",CUST-00103,31,Ambulance person,Female,Dress,CAT-03,DR-4734,Dress Classic,1,Recycled Polyester,105,105,GOTS,3.58,2404,73,0.18,Not Returned,,Good
ORD-000104,2024-07-20,"Norway, Bergen",CUST-00104,48,Toxicologist,Male,Shoes,CAT-05,SHO-5640,Shoes Eco,2,Organic Cotton,150,300,OEKO-TEX,2.21,2500,56,0.11,Not Returned,,Good
ORD-000105,2023-09-29,"USA, Santa Cruz",CUST-00105,31,Product manager,Female,Bag,CAT-06,BA-8713,Bag Green,5,Organic Cotton,100,500,GOTS,13.54,2923,21,0.68,Not Returned,,Excellent
ORD-000106,2024-09-28,"USA, Santa Cruz",CUST-00106,33,Waste management officer,Male,Shoes,CAT-05,SHO-5345,Shoes Eco,2,Linen,160,320,GOTS,8.8,2010,80,0.44,Not Returned,,Average
ORD-000107,2023-11-11,"USA, Burlington",CUST-00107,42,Health and safety adviser,Male,Pants,CAT-02,PA-2339,Pants Style,3,Bamboo,80,240,Fair Trade,10.17,2267,42,0.51,Not Returned,,Excellent
ORD-000108,2024-12-23,"Norway, Oslo",CUST-00108,39,Arboriculturist,Female,Pants,CAT-02,PA-3861,Pants Classic,1,Bamboo,85,85,Fair Trade,6.77,789,29,0.34,Not Returned,,Excellent
ORD-000109,2023-11-15,"Germany, Berlin",CUST-00109,33,Broadcast presenter,Female,Dress,CAT-03,DR-5677,Dress Classic,4,Hemp,150,600,OEKO-TEX,5.68,1914,32,0.28,Not Returned,,Excellent
ORD-000110,2025-02-07,"Norway, Oslo",CUST-00110,27,Learning disability nurse,Male,Pants,CAT-02,PA-1142,Pants Style,4,Linen,85,340,Fair Trade,11.12,1458,17,0.56,Not Returned,,Excellent
ORD-000111,2024-01-15,"Australia, Melbourne",CUST-00111,39,"Designer, industrial/product",Other,Pants,CAT-02,PA-4907,Pants Green,2,Organic Cotton,90,180,B Corp,5.81,2719,48,0.29,Not Returned,,Good
ORD-000112,2023-09-23,"Germany, Berlin",CUST-00112,27,Company secretary,Male,Pants,CAT-02,PA-8055,Pants Classic,4,Hemp,100,400,B Corp,9.84,2190,89,0.49,Returned,Not as Expected,Excellent
ORD-000113,2025-02-06,"USA, Portland",CUST-00113,33,Print production planner,Female,Jacket,CAT-04,JA-1587,Jacket Eco,4,Bamboo,210,840,None,4.77,2724,92,0.24,Returned,Wrong Size,Average
ORD-000114,2023-05-31,"USA, Santa Cruz",CUST-00114,35,Veterinary surgeon,Male,Shoes,CAT-05,SHO-5098,Shoes Style,2,Linen,155,310,Fair Trade,3.11,1688,12,0.16,Not Returned,,Excellent
ORD-000115,2025-01-29,"USA, Portland",CUST-00115,42,"Scientist, audiological",Female,Bag,CAT-06,BA-2888,Bag Green,2,Recycled Polyester,90,180,B Corp,13.02,1343,89,0.65,Not Returned,,Excellent
ORD-000116,2023-05-23,"New Zealand, Wellington",CUST-00116,24,Community education officer,Male,Shirt,CAT-01,SHI-4186,Shirt Eco,3,Recycled Polyester,50,150,B Corp,7.79,2080,45,0.39,Not Returned,,Excellent
ORD-000117,2023-08-31,"Sweden, Stockholm",CUST-00117,23,Catering manager,Female,Pants,CAT-02,PA-3896,Pants Style,2,Hemp,95,190,GOTS,8.19,1781,20,0.41,Not Returned,,Average
ORD-000118,2024-02-10,"Netherlands, Amsterdam",CUST-00118,41,Geographical information systems officer,Male,Shirt,CAT-01,SHI-1704,Shirt Style,5,Organic Cotton,45,225,GOTS,10.81,1245,65,0.54,Not Returned,,Excellent
ORD-000119,2025-03-26,"USA, Santa Cruz",CUST-00119,54,Financial manager,Male,Shoes,CAT-05,SHO-2892,Shoes Green,5,Recycled Polyester,155,775,B Corp,14.98,2779,70,0.75,Not Returned,,Average
ORD-000120,2024-03-20,"Germany, Berlin",CUST-00120,27,Community education officer,Female,Dress,CAT-03,DR-6730,Dress Eco,5,Linen,140,700,GOTS,5.2,591,93,0.26,Not Returned,,Average
ORD-000121,2024-07-09,"Canada, Victoria",CUST-00121,55,"Psychologist, counselling",Female,Jacket,CAT-04,JA-4392,Jacket Classic,5,Hemp,245,1225,GOTS,11.12,2495,64,0.56,Not Returned,,Excellent
